제품명,표준코드명
노플정,"8806673000406"""""
녹십자아시클로버크림,"""8806436004504"",""8806436004511"""
녹십자제놀카타플라스마,"""8806436007307"",""8806436007314"",""8806436007321"",""8806436007338"",""8806436007345"",""8806436007352"",""8806436007369"""
녹십자폴산정,"""8806436055605"",""8806436055612"""
뇌선,"""8806477000305"",""8806477000312"",""8806477000329"",""8806477000336"""
뇌신에이산,"8806477000619"""""
누네프레쉬점안액1.0%(카르복시메틸셀룰로오스나트륨)(1회용),"""8806431057802"",""8806431057819"",""8806431057826"""
"누마렌점안액(1회용),누마렌점안액","""8806453000701"",""8806453000718"",""8806453000725"",""8806453000732"",""8806453000749"",""8806453000756"",""8806453000763"",""8806453000770"",""8806453060316"",""8806453060323"",""8806453060309"",""8806453060330"""
누보클렌액,"8806420000611"""""
누코미트액(아세틸시스테인),"""8806580001909"",""8806939002106"",""8806580001916"",""8806939002120"",""8806580001923"",""8806939002113"""
